"film_id","year","length","budget","votes","genre","rating"
9056,1993,90,12.5,23,"Action",3.7
6111,1984,95,15.8,16,"Drama",3.8
38050,1986,NA,17.7,84,"Drama",3.3
24951,1979,100,14.3,6,"Drama",4
27869,1999,190,13.9,13,"Drama",4.3
18552,1956,98,18.7,6736,"Drama",3.9
30862,1970,93,9.9,8,"Comedy",5.2
32491,2004,100,15.2,23,"Comedy",7.7
17301,1964,118,9.5,1575,"Comedy",4
790,1993,112,11.5,15,"Action",4.2
27593,2002,90,10.5,41,"Action",3.7
26346,2002,62,13,11,"Documentary",7.9
28655,1989,98,6.6,12,"Drama",3.2
56258,1939,112,11.4,72,"Drama",4.5
18709,1976,87,8.5,34,"Action",8.2
45780,2001,5,13.7,8,"Short",7.7
23382,1998,19,14.2,46,"Comedy",7.4
1807,1972,76,15.9,15,"Drama",3.1
55704,2002,96,11,27,"Drama",3.9
26977,2002,94,7.8,8,"Action",4.6
10545,1999,114,13.3,17,"Action",3.9
24267,1992,45,9.2,10,"Action",7.6
18769,1951,7,14.9,15,"Animation",7.8
6121,1961,77,9.2,95,"Drama",4.6
19152,1958,101,9.6,164,"Action",5.6
15393,2003,3,10.4,26,"Animation",8
13098,1965,92,9.4,302,"Action",8.6
33317,2000,85,9.8,8,"Comedy",8.8
57802,1933,114,10.5,12,"Drama",3.5
9105,2004,9,14,10,"Short",8.3
44069,1958,7,15.2,26,"Animation",8.3
10056,2000,14,12,6,"Drama",7.5
28523,1944,95,10.2,8,"Action",4.9
13434,1990,94,12.5,29,"Drama",4.2
53124,1968,91,8.4,11,"Action",4.1
29385,1978,82,14.9,19,"Action",5
41995,1989,88,10.6,8,"Drama",2.8
35564,1969,89,11.7,17,"Drama",3.4
9161,1989,40,11.8,23,"Short",7.9
32036,1953,70,11.4,17,"Action",3.4
3269,1998,87,14.8,17,"Comedy",7.8
36354,1995,14,9.5,8,"Short",7.9
41769,1988,125,14.1,107,"Comedy",8.1
54318,2003,90,11.4,23,"Comedy",8.1
40011,1975,108,14.5,154,"Action",7.7
45333,1930,67,14.9,16,"Action",3.8
9380,2003,12,11.1,12,"Comedy",8.1
39981,1942,9,10.4,6,"Documentary",7.9
477,2001,92,16.9,14,"Comedy",8.3
58318,1997,112,14.7,16,"Action",3.3
36147,2000,108,13.5,3131,"Comedy",5.1
32349,1990,82,11.9,1253,"Comedy",5.3
42667,1936,60,16.2,20,"Action",7.8
21779,1983,110,11.8,20,"Drama",3.8
8297,2000,105,12.1,204,"Documentary",8.2
25360,1990,83,13,12,"Action",4.5
50963,1983,NA,11.7,18,"Action",4.3
45374,1988,99,10.2,18,"Action",3.5
667,1974,153,10.1,20,"Drama",5.7
42116,1951,81,16.2,66,"Action",4.3
50307,1976,91,8.7,5,"Action",3.1
21562,1957,88,14.3,33,"Action",3.8
46437,2002,2,13.7,18,"Comedy",8.3
52365,1999,147,10.2,22,"Drama",4.1
33612,2000,122,12.4,4746,"Drama",3.2
22960,1997,82,12.6,131,"Comedy",7.6
39511,1941,119,13.4,732,"Drama",3.1
48036,1993,95,12.5,2478,"Comedy",8.3
19194,1975,NA,14.3,22,"Action",4.2
25895,1975,94,12.4,40,"Drama",2.8
37392,1962,80,11.6,19,"Drama",2.6
11447,2003,89,12.6,206,"Comedy",2.3
27463,1997,91,13.6,6,"Romance",0.8
54375,2002,17,14.9,7,"Short",7.8
30291,2003,21,15.5,20,"Short",8.8
41886,1962,85,13,16,"Drama",4.2
54794,1982,85,6.5,37,"Drama",5.2
26438,2001,7,14.7,13,"Animation",3.1
52113,1963,88,10.4,42,"Comedy",4.6
34463,1933,8,11.1,16,"Animation",7.7
38848,1999,15,11.4,76,"Drama",8.4
13211,1988,95,11.7,12,"Comedy",7.6
17079,1973,90,14.9,33,"Action",4.2
44429,1939,55,10.5,9,"Action",4.5
9804,1980,93,12.6,140,"Action",3.8
44004,1954,171,10.2,55,"Drama",5.2
41645,2000,15,16.1,6,"Short",8
16933,2004,85,7.8,58,"Comedy",4
9298,1964,106,10.8,280,"Drama",2.8
32769,2002,93,14.8,3324,"Drama",4.4
6313,1972,86,17.2,125,"Action",8.8
12806,1982,84,6.1,3983,"Comedy",4.7
2785,1990,93,9.2,10,"Drama",4.5
15637,1971,84,11.5,8,"Comedy",7.1
14135,1980,10,6.6,14,"Documentary",8
45108,2001,80,9.4,94,"Comedy",4.3
33266,1993,100,14.9,681,"Comedy",8.5
25909,2003,105,11.4,1295,"Drama",4.5
12326,1968,107,13.9,56,"Drama",4.6
42485,1934,52,9.3,5,"Action",3.5
37179,1959,149,12.8,1197,"Drama",1.2
56172,2001,97,14.5,207,"Drama",2.5
57617,1948,120,12.9,148,"Comedy",8.2
25439,2002,8,10.5,36,"Short",8
11742,1970,106,10.3,136,"Drama",3.4
47365,1969,110,11.1,13,"Drama",2.2
51826,1980,105,20.3,50,"Comedy",7.9
53157,1961,95,9.8,17,"Action",5.1
28304,1999,20,12,56,"Short",8.4
54164,1918,80,10,5,"Drama",4.5
37716,1981,90,6.9,10,"Documentary",2.5
51738,1958,100,15.6,21,"Drama",2.2
25306,1921,93,12.6,72,"Action",6.4
28086,2002,82,11.6,34,"Drama",2.9
4592,1955,82,10.1,16,"Drama",4.7
29244,2002,96,10.5,56,"Comedy",8.2
52504,1996,110,14.5,10,"Action",5
17926,1932,66,14.6,29,"Comedy",8.4
10730,1956,92,16.7,66,"Drama",3.7
469,1969,81,13.2,18,"Action",3
3097,1940,110,9.2,87,"Comedy",4.3
50474,1997,12,13.8,38,"Animation",2.5
37205,2001,81,9.9,7,"Drama",2.5
16851,1959,81,12.5,36,"Action",2.9
8375,1988,81,9.5,8,"Drama",3.1
12363,1987,98,8,55,"Action",3.6
26406,1954,83,15.4,10,"Action",5
50835,2003,88,13,596,"Documentary",7.2
3727,2004,170,11.4,16217,"Drama",4.6
57724,2001,123,11.4,109,"Comedy",7.8
38677,2004,6,18,5,"Short",8.5
2155,1984,21,10.9,12,"Documentary",8.1
48465,1994,116,9,32979,"Action",2
1163,1976,100,12.8,9,"Comedy",7.9
34222,1976,30,10.7,5,"Documentary",8.1
39061,1948,74,16.5,20,"Documentary",7.7
43954,1936,85,15.6,5,"Action",4.6
23491,1942,80,13.3,8,"Action",4.6
321,2000,6,12.5,16,"Short",8.3
34614,1957,78,9.1,18,"Drama",3.9
43672,2005,93,10.3,39,"Documentary",7.1
15418,1997,78,10.5,70,"Documentary",7.6
19257,1999,16,15.8,17,"Short",8
1462,1987,88,14.9,6,"Comedy",7.7
2494,1944,107,12.4,54,"Comedy",7.9
3462,1992,107,13.9,13,"Drama",1.9
19312,1982,97,13,10,"Drama",4.2
5927,2000,95,15.1,59,"Action",7.8
29587,1953,95,10.1,15,"Comedy",8
11202,2003,135,10.6,7860,"Action",3.8
55215,1999,100,10.3,48,"Drama",3.7
4777,1996,112,7.1,7452,"Comedy",2.5
1096,1940,205,8.6,28,"Action",3.6
17905,1986,103,9.1,267,"Drama",3.3
11672,1995,90,11.7,11,"Comedy",7.8
17724,1994,136,8.1,686,"Comedy",3.9
15039,1976,96,12.2,56,"Comedy",8.2
18104,1951,77,13.9,38,"Action",4.7
46149,2002,80,10,5,"Action",2.1
2421,1972,NA,12.1,9,"Action",5.2
3756,1949,7,11.7,94,"Animation",8.7
43133,1993,130,12.3,9,"Action",3.7
29492,1997,86,7.6,18,"Action",3.7
34446,1984,126,13.8,9,"Action",2.9
20038,1987,86,11,51,"Comedy",7.5
39435,1934,6,12.6,45,"Animation",8.6
21082,1922,60,15.7,109,"Comedy",8
21283,1956,80,14.4,211,"Comedy",8.5
15983,1999,12,13,25,"Short",8.3
24934,1999,56,8.7,7,"Documentary",7.4
45278,1958,79,12.8,40,"Drama",4.9
8377,2003,114,11.2,1332,"Comedy",4.4
22098,1986,109,16.1,17,"Drama",6.4
16591,1995,20,10.2,5,"Short",8.3
24631,2003,109,15.6,190,"Comedy",3.9
13051,2002,109,13.9,8003,"Comedy",8.5
39638,1947,96,6.3,154,"Comedy",5.2
32466,1997,120,7.7,291,"Comedy",3.6
3763,2004,115,17.1,25,"Drama",4.2
26750,1936,10,11.4,9,"Documentary",7.9
17116,2000,86,13.9,420,"Action",3.7
34950,2003,7,10.1,16,"Short",7.8
16782,1948,70,10.3,15,"Action",3.7
50377,1944,7,11.1,48,"Animation",8.3
57721,1995,NA,5.8,6,"Documentary",8
5486,1957,84,8.1,20,"Drama",3.5
52802,1995,NA,9.5,62,"Action",3.8
3151,1993,96,13.1,22118,"Action",8.2
48260,1962,83,9.1,9,"Comedy",4
21764,1998,89,9.1,242,"Comedy",5.6
5950,1979,105,10.9,34,"Comedy",8.3
21543,1971,88,11.8,123,"Comedy",4.8
46101,1992,82,16.7,5,"Action",8.1
25303,1975,180,15,13,"Action",3.2
2727,1950,107,8.4,529,"Comedy",4.8
56876,1993,90,18.5,116,"Action",7.7
31308,2002,120,11.5,51,"Documentary",7.2
17054,1996,30,13.4,12,"Animation",8.4
42927,1982,75,13.2,12,"Action",3.5
13213,1980,92,7,21,"Comedy",4.5
44909,1953,54,14.2,6,"Action",3.4
56605,1965,108,11.2,1414,"Comedy",7.5
25233,2004,100,16.7,105,"Comedy",8.6
4118,2003,83,7.2,23,"Drama",4
40285,1945,92,14.1,37,"Drama",4.4
38245,1997,101,17.4,422,"Comedy",8
29825,1932,71,15.4,25,"Drama",3.6
41814,1938,96,9,7,"Drama",3.8
6923,1937,82,10.6,21,"Action",3.4
5339,1985,92,12.4,5,"Action",2.7
49941,2000,93,8.9,6,"Comedy",4
3867,1954,7,7.7,77,"Animation",8.2
51129,1946,98,14.2,12,"Drama",3
34991,1999,88,13.4,2766,"Comedy",8.2
11822,1959,83,11.9,6,"Drama",4.6
40593,1947,93,14.3,9,"Action",4.6
38251,1999,17,12.7,5,"Short",7.9
30372,1985,19,8.4,6,"Short",8.1
23071,2001,123,9.1,1933,"Comedy",5.9
8195,1960,70,7.5,16,"Drama",2.7
20839,1986,90,16.3,17,"Drama",6.1
15622,2001,91,11.7,13,"Drama",3.1
56471,1929,75,12.4,9,"Documentary",7.8
24017,1962,85,11.1,11,"Drama",2.6
39011,1998,80,9.2,63,"Drama",3.8
5371,1995,100,11.1,1285,"Drama",4.4
6319,1987,90,15.3,54,"Action",3.4
11565,1989,5,14.9,1302,"Animation",7.7
23269,1943,84,9.2,57,"Action",4.8
3836,1999,95,9.9,53,"Action",5.1
50630,1995,108,15.7,12,"Action",3.1
36382,2003,61,7.4,12,"Drama",3.8
43789,1972,126,11.3,1306,"Drama",1.7
48395,2003,19,9.6,20,"Drama",8.2
32511,2001,97,16.1,81,"Drama",3.3
13031,1991,109,14.5,218,"Comedy",8.1
32724,1992,92,11.9,5,"Comedy",7.8
13007,1980,91,14.6,262,"Action",4.9
14655,1971,138,17.4,33,"Action",8.2
27329,1963,110,15.8,9,"Drama",3.8
12510,1998,54,15.9,10,"Documentary",8.7
19695,1997,101,15.5,26071,"Drama",3.1
49480,1998,89,12.5,20,"Action",3.8
6760,1944,26,8.4,156,"Short",8.9
24617,1996,75,10.6,7,"Documentary",8
19897,1945,95,12.7,9,"Comedy",8.2
10396,1953,65,13.6,40,"Comedy",8
29712,2000,NA,13.6,6,"Comedy",7.5
27431,1980,83,15.7,7,"Action",8.4
32517,1990,89,13.9,157,"Comedy",8.2
58317,1998,90,7.1,20,"Action",3.7
26449,1998,58,11.6,14,"Documentary",8.1
17029,1998,17,15.1,16,"Short",7.9
52852,1983,93,13.7,19,"Drama",4.1
4746,2003,85,12.8,22,"Comedy",5.9
34072,1997,105,12.7,28,"Documentary",8.5
10411,1986,96,14.2,2012,"Comedy",8
6924,1950,88,15.5,61,"Drama",3.7
29511,1967,72,6.1,28,"Comedy",8.3
44108,1948,8,8.3,51,"Animation",3.6
27895,1927,155,11.1,178,"Drama",4.7
28122,1980,119,5.5,12,"Action",3.9
23885,1988,83,11.8,632,"Comedy",8.6
27594,1944,137,11.2,197,"Drama",4.3
30287,1998,93,11.4,30,"Documentary",8.6
50526,1998,108,9.7,48,"Drama",4.4
35579,1959,73,12.2,8,"Action",3.5
33491,1976,132,12.3,2118,"Action",5.2
17315,1995,106,16.5,4089,"Comedy",7.9
40196,1982,98,11.9,912,"Comedy",3.6
41969,1971,87,16.4,90,"Drama",3.9
31173,1998,91,11.5,82,"Drama",3.9
11729,2004,103,14.7,15,"Comedy",8.5
50445,1997,NA,17.1,55,"Comedy",7.4
23170,1927,48,11.2,6,"Comedy",8.2
12017,1995,86,12.9,33,"Action",5.2
11778,1938,90,9.8,44,"Drama",3.2
50424,1971,7,14.4,22,"Animation",7.3
18505,1997,102,10.1,18,"Drama",4.5
48268,1994,85,17.8,78,"Drama",3.5
44318,1999,90,12.2,67,"Comedy",7.9
58153,1942,100,12.4,239,"Comedy",4
33067,1994,87,16.4,14,"Comedy",7.7
9976,1987,52,6.3,22,"Drama",4.1
16239,1995,93,9.9,35,"Drama",3.9
36265,2004,NA,11.5,102,"Drama",4.2
5919,1942,64,10.6,94,"Action",4.8
34031,1934,71,18.6,15,"Drama",4.1
39414,2002,83,13.2,67,"Drama",4
7800,2000,100,15.6,8,"Comedy",4.6
29775,1989,75,11.5,15,"Action",4.9
32598,1996,8,10.4,18,"Comedy",8.7
22416,1958,73,14,6,"Drama",5
49733,1971,101,10.6,58,"Comedy",3.8
39450,1999,9,11.7,54,"Short",7.7
1788,1999,99,16.4,670,"Drama",4.9
27583,1985,97,17.8,73,"Comedy",7.8
16644,1954,104,16.8,412,"Drama",3.4
44771,1966,105,10,5,"Comedy",5.1
20659,2000,130,16.8,1145,"Drama",4.2
7787,1942,7,10.5,128,"Animation",8.7
44315,1994,96,9.3,1222,"Comedy",4
35634,1998,106,8.2,11,"Drama",3.8
39750,1971,120,9.1,9,"Action",5.2
55400,1999,13,10.8,26,"Animation",4.1
50762,1985,119,11.9,111,"Drama",3.8
43446,2003,88,14.7,20,"Documentary",7.8
10430,2005,99,16.6,9,"Documentary",8
58525,1998,89,10.8,10,"Action",3.9
6170,2003,5,13.6,10,"Animation",7.7
54862,2000,76,12.6,5,"Comedy",8.1
34608,1985,NA,6.7,7,"Drama",5.2
49969,1993,104,16.7,5376,"Action",7.4
27735,1979,90,13.2,12,"Action",4
42916,1964,99,8.9,12,"Drama",3
306,1993,84,11.3,8,"Action",3.3
38783,1942,88,14.6,1224,"Comedy",5
37306,1971,91,16.5,61,"Drama",5.1
8746,1947,144,14.6,29,"Drama",4
5827,1991,158,12.9,2065,"Drama",6.3
22307,1938,70,5.9,58,"Comedy",2.8
6950,1966,95,12.4,763,"Drama",4
530,2003,72,13,42,"Documentary",8.2
35454,1971,68,10.2,5,"Drama",4
42341,1971,95,14.5,5,"Action",7.7
17798,2004,105,14.1,1840,"Action",4.5
7728,1943,76,6.8,13,"Action",4.3
8206,1995,85,10.6,73,"Action",3.5
31582,1942,11,10.6,5,"Short",7.3
26825,2002,79,11.7,184,"Documentary",7.7
10379,1994,119,6.9,8340,"Drama",3.6
6397,2004,87,11.7,5,"Action",5.1
16089,1994,117,11.6,190,"Drama",4.8
33381,1999,102,18.7,7247,"Comedy",7.8
26394,2003,90,8.1,9,"Comedy",3.5
53997,1943,NA,10.1,5,"Comedy",7.6
5156,1942,70,9.8,38,"Drama",3.6
41220,1960,76,7,10,"Drama",2.6
19942,1995,89,8.8,9,"Documentary",7.8
6525,1999,105,15.6,92,"Drama",3
452,1941,104,18.8,395,"Drama",5.2
51318,1992,90,15.3,9,"Drama",3.9
26938,1991,86,12.2,152,"Comedy",2.7
32783,1975,123,14.5,41,"Drama",3.4
5591,1979,93,15.9,6,"Action",5.3
30819,2003,80,12,9,"Action",3.6
1291,1966,106,11.2,9,"Action",3.8
28037,1988,101,10.1,274,"Action",4.3
49611,1983,86,10.4,43,"Action",6.1
2486,1971,131,14.1,4042,"Action",3.2
40996,1928,62,12.4,7,"Drama",4.4
44649,1937,70,10.7,100,"Drama",3.1
57352,1914,54,8,17,"Comedy",3.9
47747,1948,11,9.5,8,"Comedy",7.6
10693,1943,67,15.9,25,"Action",8
55844,1976,111,7,77,"Drama",4
51768,2000,72,12.9,44,"Documentary",7.7
27196,1997,105,12,10,"Action",4
28495,1997,96,16.5,442,"Comedy",7.9
46103,1952,78,8.4,29,"Drama",4.3
24271,2004,48,7.9,12,"Documentary",3.8
23656,1970,NA,6.2,7,"Action",5.1
21649,1997,28,12.2,61,"Short",7.3
49093,1963,79,15.2,14,"Comedy",8.1
26963,1995,104,12.4,14874,"Action",7.9
5758,1974,113,18.9,28,"Drama",6.5
13631,1981,96,13.2,214,"Comedy",7.5
45891,2000,113,16.1,1283,"Action",8.1
17133,1948,67,15.5,10,"Action",7.9
49884,1974,143,14.9,33,"Action",5.3
8535,1958,85,7.6,9,"Action",3.4
45297,1996,85,16.7,24,"Documentary",7.8
29786,1991,105,12.1,9,"Romance",3.3
47628,1961,68,8.5,10,"Action",2.6
17215,1981,90,11.5,5,"Action",2.8
9291,1989,100,11.3,40,"Action",4.3
52559,1930,86,13.3,19,"Action",2.2
46104,1977,114,12.9,31,"Action",3.1
54141,1997,65,16.9,12,"Documentary",8
10319,1994,87,11.8,182,"Action",3
36114,1903,2,14.3,8,"Action",8.7
21103,1995,107,13,419,"Comedy",3.8
47902,1987,100,14.7,141,"Action",3.5
38317,1973,142,11,8,"Drama",3.4
48202,2004,105,7.2,46,"Drama",2.3
33684,1994,94,10.9,43,"Drama",4.9
12478,1940,76,10.4,122,"Drama",2.4
12977,1977,93,15.5,10,"Drama",3.3
11936,2000,87,11.4,21,"Comedy",8.1
22539,1995,91,10.4,27,"Drama",3.9
49855,1971,103,11.2,1062,"Drama",4.9
4324,1936,95,10.2,30,"Comedy",4
24673,1996,135,9.1,356,"Comedy",3.4
53302,1998,93,12,140,"Comedy",7.7
8011,1996,101,14,84,"Comedy",7.9
28209,1997,87,8.4,17,"Action",4
5858,1950,89,8.7,7,"Action",3.6
55383,1963,105,15.3,12,"Drama",2.7
41836,1977,80,7.3,7,"Action",3.8
33443,1969,113,15.1,13091,"Drama",4.8
15786,1981,20,13.6,200,"Comedy",7.7
10212,1996,NA,13,1441,"Comedy",2.3
44205,1987,87,13.2,5,"Action",4.7
30508,1951,86,9.9,19,"Drama",2.9
51660,1972,69,13.2,90,"Action",3.6
9207,1932,58,12.8,33,"Drama",3.4
39167,1988,90,16,15,"Action",8.4
25115,1988,81,9.2,9,"Animation",5.1
25801,1989,93,12,20,"Drama",3.6
12567,1969,96,14.6,17,"Drama",2.2
21838,1970,96,17.5,38,"Drama",4
21687,1944,77,12.2,11,"Action",5.4
30646,1955,87,19.1,6,"Action",8.7
40591,1990,109,9.4,12,"Drama",4
57247,1935,75,17.6,20,"Romance",2.7
22919,1969,98,17.9,5,"Action",7.9
13946,1915,5,10.3,29,"Animation",7.9
53402,1952,95,6.6,5,"Drama",4.2
46759,1988,18,9.1,6,"Documentary",8.2
11929,1936,7,13,20,"Animation",7.8
17142,1992,140,14.6,8556,"Drama",5.8
2441,1971,85,11.6,3539,"Comedy",7.8
23415,1995,81,10.7,10,"Comedy",7.9
33080,1941,89,16,6,"Drama",4.7
34680,1929,20,17.2,15,"Comedy",7.7
353,1990,100,6.9,51,"Action",3.8
38803,1938,55,11.2,50,"Action",2.9
14987,1976,72,16.5,5,"Comedy",7
25408,1976,112,10.6,348,"Drama",4.7
2923,1998,94,5.1,200,"Drama",4.2
4558,1997,125,16,28457,"Action",7.5
19026,2001,21,7.1,25,"Drama",7.1
18047,1963,26,11.8,7,"Documentary",8.5
3030,2000,13,6.5,11,"Drama",6.9
54205,2004,87,13.4,136,"Documentary",7.6
30342,1961,NA,15.8,14,"Comedy",3.1
11990,1995,74,10.7,61,"Comedy",4.2
36099,1998,90,12.9,142,"Action",3.5
49542,1998,88,11.8,34,"Drama",3.3
14305,1947,7,13.7,21,"Animation",8.5
30108,1948,7,14.1,32,"Animation",7.2
39624,2003,100,6.2,11,"Documentary",2.9
29177,2004,17,10.4,17,"Drama",8.1
33930,1955,123,12.3,3932,"Comedy",4.5
4040,2003,98,10.9,296,"Comedy",8.1
10095,2004,93,11,32,"Drama",4.5
17471,1955,97,12,137,"Drama",4.1
21712,1986,139,6.3,9,"Drama",3.5
24485,1935,64,15.8,13,"Comedy",5
39327,1999,70,9.4,5,"Action",4
46849,1994,106,12.7,35,"Drama",2
25689,2003,107,6.8,1741,"Drama",5.4
16117,1967,112,12.4,81,"Comedy",3.7
12758,1994,93,8.7,66,"Action",3.7
55349,1955,97,16.8,35,"Drama",3.4
34663,1997,99,12.3,4637,"Action",7.5
31399,1962,82,13.1,13,"Action",2.1
17123,1990,NA,13.6,54,"Comedy",7.8
58489,2001,60,8.8,11,"Documentary",8.4
21857,1980,89,13,6,"Action",2.5
16557,1961,80,12,17,"Comedy",7.5
16506,1934,90,12.8,64,"Action",4.6
457,1960,118,7.2,53,"Drama",4.9
53762,2003,89,12.7,13,"Comedy",7.5
12384,1950,10,13.6,14,"Drama",8.1
18832,1969,91,6.2,8,"Comedy",3.9
38490,1995,96,11.3,30,"Documentary",8.2
30518,1955,138,7.7,364,"Drama",3.5
34873,1984,90,11.9,15,"Drama",4.1
13054,2001,92,9.6,22,"Action",4
21408,1999,94,11.9,14,"Action",3.9
57934,1986,105,8.7,28,"Action",3.9
2099,1963,174,9.2,485,"Drama",3.8
30189,1980,103,5.7,363,"Drama",5.3
36428,1955,93,15.3,7543,"Drama",4
47958,1998,82,10.8,65,"Documentary",8
22057,1976,75,9.2,22,"Comedy",4.8
55848,1971,NA,12.8,238,"Action",4.1
18337,1959,87,11.1,6,"Comedy",7.8
57801,1997,83,12,176,"Action",3
13342,2002,89,14.4,1075,"Action",8.1
25471,1997,97,8.5,2309,"Action",4.6
16303,1955,87,15.7,13,"Comedy",7.9
9904,2000,121,12.9,20031,"Comedy",4
43363,2005,110,14.8,5483,"Drama",4.2
29393,1991,95,11.8,28,"Action",4.2
45015,1952,115,11.4,779,"Drama",2.4
25923,1936,83,7.8,26,"Comedy",4.9
13925,1988,8,14.2,15,"Animation",7.8
11575,1971,92,10.2,74,"Action",4.8
13666,1938,65,15,10,"Action",4.4
6600,1959,92,9,5,"Action",2.9
34093,1970,124,12.7,455,"Drama",2.6
16616,1933,67,9.3,136,"Comedy",5.6
37036,1977,80,10.3,9,"Documentary",8.1
23921,1967,NA,8.2,6,"Comedy",5.4
25930,1965,7,12.4,17,"Animation",7.5
50678,2000,12,9.5,37,"Comedy",7.4
37605,1940,9,12.4,5,"Documentary",8.1
54709,1966,106,6.7,5,"Drama",4.1
51580,1968,118,12.1,92,"Drama",5.5
6998,1975,87,6.8,48,"Action",5.4
12257,1987,42,8.6,5,"Short",8
24446,1992,110,9.2,97,"Comedy",3.5
35766,2003,40,11.9,22,"Documentary",7.5
41342,1981,91,10.9,421,"Comedy",8.2
58111,1945,103,10,31,"Drama",3.7
6264,1938,70,18.6,89,"Comedy",8.3
23866,1991,84,11.1,10637,"Action",3
41740,1986,86,8.7,296,"Animation",3.5
55319,1999,95,14.3,61,"Drama",5.5
2976,1924,12,14.2,13,"Comedy",7.7
14103,1997,87,16.9,7,"Documentary",7.4
37948,1999,30,9.2,20,"Comedy",7.5
27986,2005,170,10.7,108,"Drama",5.6
23746,1962,NA,10.5,49,"Comedy",5
1524,1998,80,13.3,34,"Action",3
19929,1990,12,11.2,7,"Short",7.2
53317,1967,126,8.7,165,"Action",3.6
14323,1996,80,14.9,28,"Comedy",7.9
6328,1997,93,11.7,91,"Drama",3.8
19649,1981,114,14.8,8,"Action",3.9
14352,1985,66,15.3,14,"Animation",3.7
38315,1989,87,15.4,5,"Drama",3.3
23844,1951,60,14.8,7,"Action",3.6
30849,2003,100,11,689,"Comedy",3.7
51626,1941,92,11.3,90,"Drama",3.2
56269,2000,90,11.4,90,"Comedy",7.6
48128,1999,96,10,14,"Comedy",7.8
2299,2001,NA,10.7,49,"Comedy",8.4
40236,1943,64,11.4,7,"Action",4
41738,1946,7,8.8,18,"Animation",8.4
14622,2001,89,6.8,86,"Action",4.7
19236,1940,53,12.5,27,"Drama",2.8
167,1990,25,8.8,183,"Short",7.9
44282,1957,17,10.9,24,"Comedy",8.1
55109,1978,120,12.7,5,"Action",4.1
1881,1962,93,12.8,82,"Comedy",8.1
52118,1995,99,12.6,307,"Drama",4
5589,1940,11,10.4,8,"Comedy",8.3
15670,2002,117,7.8,131,"Drama",3.4
50717,1982,76,10.1,8,"Action",2.2
29606,1951,77,8.4,55,"Comedy",3.3
45138,2003,15,11.2,13,"Animation",4.9
22246,1927,20,7.4,7,"Comedy",8.2
19011,1999,92,15.2,32,"Drama",5.1
45512,1970,96,12.2,23,"Comedy",8.2
46825,1964,74,15,39,"Action",4.2
26485,1968,97,11.6,26,"Action",3.8
16126,1999,12,13.3,14,"Short",8.7
43820,1937,10,10.5,13,"Short",8.1
37281,1994,94,9.3,188,"Action",5.3
